Description,Value
"[distributeJob] UPDATE_MATRIX_STATUS /",0.549037
"[distributeJob] UPDATE_MATRIX_STATUS /",1.572754
"[distributeJob] UPDATE_MATRIX_STATUS /",0.537396
"[distributeJob] UPDATE_MATRIX_STATUS /",0.631553
"[distributeJob] UPDATE_MATRIX_STATUS /",0.754166
"[distributeJob] UPDATE_MATRIX_STATUS /",0.865631
"[distributeJob] UPDATE_MATRIX_STATUS /",0.653871
"[distributeJob] UPDATE_MATRIX_STATUS /",2.072420
"[distributeJob] UPDATE_MATRIX_STATUS /",0.372135
"[distributeJob] UPDATE_MATRIX_STATUS /",0.788994
"[distributeJob] UPDATE_MATRIX_STATUS /",3.164418
"[distributeJob] UPDATE_MATRIX_STATUS /",0.562068
"[distributeJob] UPDATE_MATRIX_STATUS /",2.070297
"[distributeJob] UPDATE_MATRIX_STATUS /",0.504893
"[distributeJob] UPDATE_MATRIX_STATUS /",2.417914
"[distributeJob] UPDATE_MATRIX_STATUS /",0.506648
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.232000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.222000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.240000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.224000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.286000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.245000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.525000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.308000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.220000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.263000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.110000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.215000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.133000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.281000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.350000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.281000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.223000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.365000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.217000
"Distribute job completed.",13.162650
"Distribute job completed.",24.591031
"Distribute job completed.",14.392832
"Distribute job completed.",17.603207
"Distribute job completed.",25.726770
"Distribute job completed.",23.615850
"Distribute job completed.",20.410611
"Distribute job completed.",17.556162
"Distribute job completed.",18.973008
"Distribute job completed.",16.032027
"Distribute job completed.",16.340098
"Distribute job completed.",18.121084
"Distribute job completed.",10.989643
"Distribute job completed.",28.107512
"Distribute job completed.",20.162063
"Distribute job completed.",22.142016
"Distribute job completed.",18.434492
"Distribute job completed.",20.295500
"Distribute job completed.",15.029236
"Clean buffer completed.",0.001338
"Clean buffer completed.",0.001314
"Clean buffer completed.",0.001389
"Clean buffer completed.",0.001314
"Clean buffer completed.",0.001316
"Clean buffer completed.",0.001424
"Clean buffer completed.",0.001432
"Clean buffer completed.",0.001320
"Clean buffer completed.",0.001408
"Clean buffer completed.",0.001398
"Clean buffer completed.",0.001371
"Clean buffer completed.",0.001350
"Clean buffer completed.",0.001350
"Clean buffer completed.",0.001391
"Clean buffer completed.",0.001275
"Clean buffer completed.",0.001449
"Clean buffer completed.",0.001432
"Clean buffer completed.",0.001469
"Clean buffer completed.",0.001475
"Send headers completed.",0.197465
"Send headers completed.",0.197139
"Send headers completed.",0.191250
"Send headers completed.",0.206990
"Send headers completed.",0.191730
"Send headers completed.",0.208377
"Send headers completed.",0.203922
"Send headers completed.",0.202232
"Send headers completed.",0.210938
"Send headers completed.",0.197348
"Send headers completed.",0.191422
"Send headers completed.",0.201242
"Send headers completed.",0.193820
"Send headers completed.",0.201607
"Send headers completed.",0.187154
"Send headers completed.",0.207252
"Send headers completed.",0.205213
"Send headers completed.",0.208824
"Send headers completed.",0.203795
"Open file completed.",0.015400
"Open file completed.",0.015354
"Open file completed.",0.014631
"Open file completed.",0.015160
"Open file completed.",0.015375
"Open file completed.",0.015486
"Open file completed.",0.020900
"Open file completed.",0.015461
"Open file completed.",0.021053
"Open file completed.",0.014928
"Open file completed.",0.015309
"Open file completed.",0.015697
"Open file completed.",0.015293
"Open file completed.",0.015834
"Open file completed.",0.014850
"Open file completed.",0.015787
"Open file completed.",0.015697
"Open file completed.",0.015893
"Open file completed.",0.015445
"Output file completed.",3.421811
"Output file completed.",3.759117
"Output file completed.",3.101635
"Output file completed.",3.811246
"Output file completed.",2.961342
"Output file completed.",3.891646
"Output file completed.",4.397426
"Output file completed.",4.613625
"Output file completed.",3.030170
"Output file completed.",2.690623
"Output file completed.",4.480066
"Output file completed.",3.372172
"Output file completed.",4.491850
"Output file completed.",3.026674
"Output file completed.",4.190166
"Output file completed.",3.445047
"Output file completed.",4.201437
"Output file completed.",4.264139
"Output file completed.",4.434592
"Program completed. Total",19.769102
"Program completed. Total",31.564789
"Program completed. Total",20.533107
"Program completed. Total",24.669650
"Program completed. Total",31.938627
"Program completed. Total",31.375012
"Program completed. Total",28.042535
"Program completed. Total",25.291576
"Program completed. Total",25.091111
"Program completed. Total",21.930676
"Program completed. Total",23.985920
"Program completed. Total",24.535922
"Program completed. Total",18.623762
"Program completed. Total",34.275641
"Program completed. Total",27.750898
"Program completed. Total",28.814520
"Program completed. Total",26.004576
"Program completed. Total",27.692635
"Program completed. Total",22.556020
"[distributeJob] MySQL connection established.",1.109535
"[distributeJob] MySQL connection established.",0.998969
"[distributeJob] MySQL connection established.",1.026615
"[distributeJob] MySQL connection established.",1.045141
"[distributeJob] MySQL connection established.",1.018412
"[distributeJob] MySQL connection established.",1.173895
"[distributeJob] MySQL connection established.",1.243518
"[distributeJob] MySQL connection established.",0.985324
"[distributeJob] MySQL connection established.",1.003152
"[distributeJob] MySQL connection established.",1.047502
"[distributeJob] MySQL connection established.",0.992121
"[distributeJob] MySQL connection established.",1.072867
"[distributeJob] MySQL connection established.",1.118637
"[distributeJob] MySQL connection established.",1.009906
"[distributeJob] MySQL connection established.",1.029316
"[distributeJob] MySQL connection established.",0.997855
"[distributeJob] MySQL connection established.",1.112006
"[distributeJob] MySQL connection established.",1.065920
"[distributeJob] MySQL connection established.",1.080035
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.826055
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.714080
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.960996
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.794479
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",5.358383
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.459564
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.145348
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.729008
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.462420
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.694687
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",4.801803
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.681916
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.843453
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",5.342141
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.780221
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",4.304900
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",4.205988
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",4.081652
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.738811
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.698990
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.703539
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.689482
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.716281
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",1.318764
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.688449
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.756270
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.726496
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",1.079088
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.789623
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.692639
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.683160
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.766898
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.941824
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.795242
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",1.288102
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.743279
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.720816
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.717504
"[distributeJob] UPDATE_MATRIX_STATUS /",0.416209
"[distributeJob] UPDATE_MATRIX_STATUS /",0.432033
"[distributeJob] UPDATE_MATRIX_STATUS /",0.311730
"[distributeJob] UPDATE_MATRIX_STATUS /",0.549037
"[distributeJob] UPDATE_MATRIX_STATUS /",1.572754
"[distributeJob] UPDATE_MATRIX_STATUS /",0.537396
"[distributeJob] UPDATE_MATRIX_STATUS /",0.631553
"[distributeJob] UPDATE_MATRIX_STATUS /",0.754166
"[distributeJob] UPDATE_MATRIX_STATUS /",0.865631
"[distributeJob] UPDATE_MATRIX_STATUS /",0.653871
"[distributeJob] UPDATE_MATRIX_STATUS /",2.072420
"[distributeJob] UPDATE_MATRIX_STATUS /",0.372135
"[distributeJob] UPDATE_MATRIX_STATUS /",0.788994
"[distributeJob] UPDATE_MATRIX_STATUS /",3.164418
"[distributeJob] UPDATE_MATRIX_STATUS /",0.562068
"[distributeJob] UPDATE_MATRIX_STATUS /",2.070297
"[distributeJob] UPDATE_MATRIX_STATUS /",0.504893
"[distributeJob] UPDATE_MATRIX_STATUS /",2.417914
"[distributeJob] UPDATE_MATRIX_STATUS /",0.506648
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.232000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.222000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.240000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.224000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.286000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.245000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.525000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.308000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.220000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.263000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.110000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.215000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.133000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.281000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.350000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.281000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.223000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.365000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.217000
"Distribute job completed.",13.162650
"Distribute job completed.",24.591031
"Distribute job completed.",14.392832
"Distribute job completed.",17.603207
"Distribute job completed.",25.726770
"Distribute job completed.",23.615850
"Distribute job completed.",20.410611
"Distribute job completed.",17.556162
"Distribute job completed.",18.973008
"Distribute job completed.",16.032027
"Distribute job completed.",16.340098
"Distribute job completed.",18.121084
"Distribute job completed.",10.989643
"Distribute job completed.",28.107512
"Distribute job completed.",20.162063
"Distribute job completed.",22.142016
"Distribute job completed.",18.434492
"Distribute job completed.",20.295500
"Distribute job completed.",15.029236
"Clean buffer completed.",0.001338
"Clean buffer completed.",0.001314
"Clean buffer completed.",0.001389
"Clean buffer completed.",0.001314
"Clean buffer completed.",0.001316
"Clean buffer completed.",0.001424
"Clean buffer completed.",0.001432
"Clean buffer completed.",0.001320
"Clean buffer completed.",0.001408
"Clean buffer completed.",0.001398
"Clean buffer completed.",0.001371
"Clean buffer completed.",0.001350
"Clean buffer completed.",0.001350
"Clean buffer completed.",0.001391
"Clean buffer completed.",0.001275
"Clean buffer completed.",0.001449
"Clean buffer completed.",0.001432
"Clean buffer completed.",0.001469
"Clean buffer completed.",0.001475
"Send headers completed.",0.197465
"Send headers completed.",0.197139
"Send headers completed.",0.191250
"Send headers completed.",0.206990
"Send headers completed.",0.191730
"Send headers completed.",0.208377
"Send headers completed.",0.203922
"Send headers completed.",0.202232
"Send headers completed.",0.210938
"Send headers completed.",0.197348
"Send headers completed.",0.191422
"Send headers completed.",0.201242
"Send headers completed.",0.193820
"Send headers completed.",0.201607
"Send headers completed.",0.187154
"Send headers completed.",0.207252
"Send headers completed.",0.205213
"Send headers completed.",0.208824
"Send headers completed.",0.203795
"Open file completed.",0.015400
"Open file completed.",0.015354
"Open file completed.",0.014631
"Open file completed.",0.015160
"Open file completed.",0.015375
"Open file completed.",0.015486
"Open file completed.",0.020900
"Open file completed.",0.015461
"Open file completed.",0.021053
"Open file completed.",0.014928
"Open file completed.",0.015309
"Open file completed.",0.015697
"Open file completed.",0.015293
"Open file completed.",0.015834
"Open file completed.",0.014850
"Open file completed.",0.015787
"Open file completed.",0.015697
"Open file completed.",0.015893
"Open file completed.",0.015445
"Output file completed.",3.421811
"Output file completed.",3.759117
"Output file completed.",3.101635
"Output file completed.",3.811246
"Output file completed.",2.961342
"Output file completed.",3.891646
"Output file completed.",4.397426
"Output file completed.",4.613625
"Output file completed.",3.030170
"Output file completed.",2.690623
"Output file completed.",4.480066
"Output file completed.",3.372172
"Output file completed.",4.491850
"Output file completed.",3.026674
"Output file completed.",4.190166
"Output file completed.",3.445047
"Output file completed.",4.201437
"Output file completed.",4.264139
"Output file completed.",4.434592
"Program completed. Total",19.769102
"Program completed. Total",31.564789
"Program completed. Total",20.533107
"Program completed. Total",24.669650
"Program completed. Total",31.938627
"Program completed. Total",31.375012
"Program completed. Total",28.042535
"Program completed. Total",25.291576
"Program completed. Total",25.091111
"Program completed. Total",21.930676
"Program completed. Total",23.985920
"Program completed. Total",24.535922
"Program completed. Total",18.623762
"Program completed. Total",34.275641
"Program completed. Total",27.750898
"Program completed. Total",28.814520
"Program completed. Total",26.004576
"Program completed. Total",27.692635
"Program completed. Total",22.556020
